iter	Passed	Remaining
558	20299	16014
559	20335	15978
560	20372	15941
561	20407	15905
562	20444	15868
563	20481	15833
564	20519	15798
565	20558	15763
566	20594	15727
567	20630	15690
568	20665	15653
569	20702	15617
570	20737	15580
571	20774	15544
572	20809	15507
573	20845	15470
574	20881	15433
575	20916	15397
576	20952	15360
577	20989	15324
578	21027	15289
579	21063	15252
580	21100	15217
581	21137	15181
582	21174	15145
583	21212	15109
584	21249	15074
585	21286	15038
586	21322	15002
587	21357	14964
588	21392	14927
589	21428	14891
590	21463	14853
591	21499	14817
592	21537	14781
593	21573	14745
594	21609	14708
595	21646	14673
596	21683	14637
597	21720	14601
598	21758	14566
599	21794	14529
600	21830	14493
601	21866	14456
602	21901	14419
603	21937	14382
604	21972	14345
605	22011	14311
606	22048	14275
607	22084	14238
608	22119	14201
609	22154	14164
610	22190	14127
611	22226	14091
612	22263	14055
613	22299	14019
614	22335	13982
615	22372	13946
616	22408	13910
617	22444	13873
618	22479	13836
619	22514	13799
620	22552	13763
621	22589	13727
622	22626	13691
623	22661	13654
624	22697	13618
625	22731	13581
626	22767	13544
627	22803	13507
628	22839	13471
629	22875	13435
630	22911	13398
631	22962	13370
632	22998	13334
633	23036	13298
634	23075	13263
635	23113	13228
636	23149	13191
637	23185	13155
638	23220	13118
639	23270	13089
640	23327	13064
641	23364	13028
642	23399	12991
643	23436	12955
644	23470	12918
645	23506	12881
646	23543	12844
647	23583	12811
648	23618	12773
649	23654	12737
650	23690	12700
651	23725	12663
652	23761	12626
653	23797	12590
654	23833	12553
655	23868	12516
656	23903	12479
657	23938	12442
658	23974	12405
659	24009	12368
660	24044	12331
661	24080	12294
662	24115	12257
663	24150	12220
664	24185	12183
665	24220	12146
666	24256	12110
667	24292	12073
668	24329	12037
669	24364	12000
670	24401	11964
671	24438	11928
672	24473	11891
673	24508	11854
674	24545	11818
675	24581	11781
676	24618	11745
677	24653	11708
678	24687	11671
679	24723	11634
680	24759	11598
681	24795	11561
682	24830	11524
683	24868	11488
684	24903	11451
685	24939	11415
686	24975	11378
687	25010	11342
688	25045	11305
689	25075	11265
690	25111	11229
691	25147	11192
692	25182	11156
693	25218	11119
694	25253	11082
695	25288	11045
696	25325	11009
697	25359	10972
698	25395	10935
699	25431	10899
700	25466	10862
701	25501	10825
702	25537	10788
703	25572	10752
704	25609	10716
705	25645	10679
706	25680	10642
707	25716	10606
708	25752	10569
709	25787	10532
710	25823	10496
711	25859	10460
712	25897	10424
713	25933	10388
714	25971	10352
715	26008	10316
716	26044	10279
717	26080	10243
718	26117	10207
719	26153	10170
720	26189	10134
721	26225	10098
722	26262	10061
723	26298	10025
724	26337	9990
725	26377	9955
726	26418	9920
727	26457	9885
728	26495	9849
729	26534	9813
730	26571	9778
731	26609	9742
732	26645	9705
733	26681	9669
734	26723	9635
735	26762	9599
736	26811	9567
737	26865	9537
738	26918	9507
739	26956	9471
740	26994	9435
741	27038	9401
742	27076	9365
743	27112	9329
744	27149	9292
745	27186	9256
746	27223	9220
747	27258	9183
748	27294	9146
749	27330	9110
750	27368	9074
751	27409	9039
752	27448	9003
753	27486	8967
754	27530	8933
755	27572	8898
756	27612	8863
757	27651	8827
758	27685	8790
759	27721	8754
760	27756	8717
761	27791	8680
762	27827	8643
763	27862	8606
764	27897	8569
765	27932	8533
766	27968	8496
767	28003	8459
768	28040	8422
769	28075	8386
770	28111	8349
771	28148	8313
772	28183	8276
773	28218	8239
774	28254	8202
775	28289	8165
776	28324	8129
777	28360	8092
778	28395	8055
779	28431	8019
780	28467	7982
781	28502	7945
782	28539	7909
783	28575	7872
784	28612	7836
785	28651	7800
786	28689	7764
787	28728	7729
788	28765	7692
789	28802	7656
790	28838	7619
791	28875	7583
792	28911	7546
793	28946	7510
794	28982	7473
795	29018	7436
796	29054	7400
797	29093	7364
798	29129	7327
799	29165	7291
800	29200	7254
801	29236	7217
802	29270	7180
803	29308	7144
804	29344	7108
805	29381	7071
806	29417	7035
807	29453	6998
808	29488	6962
809	29527	6926
810	29558	6888
811	29597	6852
812	29634	6816
813	29670	6779
814	29708	6743
815	29744	6707
816	29779	6670
817	29814	6633
818	29851	6597
819	29885	6560
820	29920	6523
821	29956	6486
822	29991	6450
823	30027	6413
824	30063	6377
825	30101	6340
826	30138	6304
827	30176	6268
828	30212	6232
829	30249	6195
830	30285	6159
831	30321	6122
832	30358	6086
833	30395	6050
834	30432	6013
835	30475	5978
836	30517	5943
837	30556	5907
838	30594	5870
839	30632	5834
840	30670	5798
841	30707	5762
842	30750	5726
843	30792	5691
844	30829	5655
845	30868	5619
846	30908	5583
847	30946	5546
848	30984	5510
849	31023	5474
850	31061	5438
851	31098	5402
852	31136	5365
853	31175	5329
854	31214	5293
855	31252	5257
856	31292	5221
857	31330	5185
858	31368	5148
859	31406	5112
860	31442	5076
861	31479	5039
862	31516	5003
863	31553	4966
864	31607	4932
865	31661	4899
866	31705	4863
867	31743	4827
868	31786	4791
869	31824	4755
870	31864	4719
871	31905	4683
872	31955	4648
873	31998	4613
874	32042	4577
875	32082	4541
